syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p
True,False,True,QueryEvaluationTest,data-r2,dataset,dawg-dataset-11,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,dataset,dawg-dataset-12,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,dataset,dawg-dataset-12b,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,distinct,distinct-star-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,distinct,no-distinct-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,distinct,distinct-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,distinct,no-distinct-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,distinct,distinct-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,distinct,no-distinct-3,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,distinct,distinct-3,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,distinct,no-distinct-4,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,distinct,distinct-4,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,distinct,no-distinct-9,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,distinct,distinct-9,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-str-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-str-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-isBlank-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-datatype-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-datatype-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-datatype-3,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-lang-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-lang-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,dawg-lang-3,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,lang-case-insensitive-eq,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,lang-case-insensitive-ne,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,sameTerm-simple,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,sameTerm-eq,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-builtin,sameTerm-not-eq,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-equals,eq-2-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-equals,eq-2-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-equals,eq-graph-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-equals,eq-graph-2,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-ops,unplus-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-ops,unminus-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-ops,plus-1,True,True,True,True,True,SELECT,False,True,False
True,False,True,QueryEvaluationTest,data-r2,expr-ops,minus-1,True,True,True,True,True,SELECT,False,True,False
