syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p,time
True,False,True,QueryEvaluationTest,data-sparql11,service,service2,True,True,True,True,False,SELECT,False,,,76
True,False,True,QueryEvaluationTest,data-sparql11,service,service3,True,True,True,True,False,SELECT,False,,,16
True,False,True,QueryEvaluationTest,data-sparql11,service,service6,True,True,True,True,False,SELECT,False,,,12
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,load-silent,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,load-into-silent,True,True,True,False,False,,False,,,3
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,clear-silent,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,clear-default-silent,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,create-silent,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,drop-silent,True,True,True,False,False,,False,,,3
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,drop-default-silent,True,True,True,False,False,,False,,,3
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,copy-silent,True,True,True,False,False,,False,,,6
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,copy-to-default-silent,True,True,True,False,False,,False,,,6
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,move-silent,True,True,True,False,False,,False,,,6
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,move-to-default-silent,True,True,True,False,False,,False,,,5
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,add-silent,True,True,True,False,False,,False,,,4
True,False,True,UpdateEvaluationTest,data-sparql11,update-silent,add-to-default-silent,True,True,True,False,False,,False,,,4
