mf:QueryEvaluationTest,data-r2,graph,dawg-graph-11,graph-11.rq,data-g1.ttl,data-g1.ttl,UNBOUND,graph-11.ttl,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
mf:QueryEvaluationTest,data-r2,graph,dawg-graph-11,graph-11.rq,data-g1.ttl,data-g2.ttl,UNBOUND,graph-11.ttl,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
mf:QueryEvaluationTest,data-r2,graph,dawg-graph-11,graph-11.rq,data-g1.ttl,data-g3.ttl,UNBOUND,graph-11.ttl,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
mf:QueryEvaluationTest,data-r2,graph,dawg-graph-11,graph-11.rq,data-g1.ttl,data-g4.ttl,UNBOUND,graph-11.ttl,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
mf:UpdateEvaluationTest,data-sparql11,add,add03,add-03.ru,add-default.ttl,add-02-pre.ttl,http://example.org/g2,UNBOUND,add-01-pre.ttl,http://example.org/g1,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
mf:UpdateEvaluationTest,data-sparql11,add,add03,add-03.ru,add-default.ttl,add-02-pre.ttl,http://example.org/g2,UNBOUND,add-02-post.ttl,http://example.org/g2,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
mf:UpdateEvaluationTest,data-sparql11,add,add03,add-03.ru,add-default.ttl,add-01-pre.ttl,http://example.org/g1,UNBOUND,add-01-pre.ttl,http://example.org/g1,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
mf:UpdateEvaluationTest,data-sparql11,add,add03,add-03.ru,add-default.ttl,add-01-pre.ttl,http://example.org/g1,UNBOUND,add-02-post.ttl,http://example.org/g2,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
mf:UpdateEvaluationTest,data-sparql11,add,add04,add-03.ru,add-default.ttl,add-01-pre.ttl,http://example.org/g1,UNBOUND,add-01-pre.ttl,http://example.org/g1,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
mf:UpdateEvaluationTest,data-sparql11,add,add04,add-03.ru,add-default.ttl,add-01-pre.ttl,http://example.org/g1,UNBOUND,add-01-pre.ttl,http://example.org/g2,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
mf:UpdateEvaluationTest,data-sparql11,add,add05,add-05.ru,add-default.ttl,add-03-pre.ttl,http://example.org/g3,UNBOUND,add-01-pre.ttl,http://example.org/g1,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
mf:UpdateEvaluationTest,data-sparql11,add,add05,add-05.ru,add-default.ttl,add-03-pre.ttl,http://example.org/g3,UNBOUND,add-03-post.ttl,http://example.org/g3,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
mf:UpdateEvaluationTest,data-sparql11,add,add05,add-05.ru,add-default.ttl,add-01-pre.ttl,http://example.org/g1,UNBOUND,add-01-pre.ttl,http://example.org/g1,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
mf:UpdateEvaluationTest,data-sparql11,add,add05,add-05.ru,add-default.ttl,add-01-pre.ttl,http://example.org/g1,UNBOUND,add-03-post.ttl,http://example.org/g3,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
mf:UpdateEvaluationTest,data-sparql11,basic-update,insert-using-01,insert-using-01.ru,insert-using-01-pre.ttl,insert-using-01-g2-pre.ttl,http://example.org/g2,UNBOUND,insert-using-01-g1-post.ttl,http://example.org/g1,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
mf:UpdateEvaluationTest,data-sparql11,basic-update,insert-using-01,insert-using-01.ru,insert-using-01-pre.ttl,insert-using-01-g2-pre.ttl,http://example.org/g2,UNBOUND,insert-using-01-g2-post.ttl,http://example.org/g2,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
mf:UpdateEvaluationTest,data-sparql11,basic-update,insert-using-01,insert-using-01.ru,insert-using-01-pre.ttl,insert-using-01-g1-pre.ttl,http://example.org/g1,UNBOUND,insert-using-01-g1-post.ttl,http://example.org/g1,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND
